handle,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,Rating
Benq,152,73,76,82,90,112,80,135,156,140,133,142,128,133,143,144,190,151,135,140,103,136,107,133,101,103,71,143,3783
tourist,118,42,51,50,53,77,85,79,113,106,118,108,115,80,98,91,129,99,91,105,78,81,50,54,44,31,23,48,3727
cnnfls_csy,40,24,24,27,28,62,34,48,72,55,36,41,56,20,38,39,42,20,30,21,18,22,16,4,8,3,13,21,3621
Radewoosh,95,36,33,47,59,71,65,88,107,95,118,102,94,90,91,80,96,105,83,76,69,68,46,32,53,46,30,33,3598
-0.5,23,8,8,6,8,13,9,5,13,15,3,14,15,6,9,4,18,9,10,9,9,10,10,5,13,3,3,6,3545
jiangly,567,154,186,171,195,191,188,209,211,228,208,218,226,192,208,187,196,186,177,154,127,115,91,76,78,65,26,57,3514
amiya,61,22,28,23,32,38,40,63,71,58,65,62,58,45,69,44,63,74,59,51,43,55,27,49,31,24,20,21,3491
fantasy,32,9,8,14,16,20,19,27,41,42,39,37,28,26,33,27,42,37,45,35,36,33,24,28,26,22,9,18,3468
Rebelz,49,22,23,10,32,37,25,46,49,47,55,48,60,49,45,44,60,56,46,56,58,46,45,32,30,42,16,13,3415
fivedemands,16,6,4,7,4,6,12,9,11,20,9,6,13,10,9,7,8,8,8,6,3,5,6,3,2,3,2,1,3381
ko_osaga,52,36,37,45,64,53,56,70,85,85,90,91,91,73,77,86,88,82,58,41,40,36,38,30,21,19,16,5,3379
orzdevinwang,78,17,27,26,27,33,31,59,63,48,51,69,52,63,68,83,95,122,127,114,67,99,81,68,72,51,45,90,3370
djq_cpp,31,9,18,19,20,30,27,20,40,40,22,28,30,30,28,37,35,25,26,33,13,14,20,23,15,18,12,16,3368
Um_nik,182,53,72,68,85,85,110,125,146,134,136,141,108,117,140,105,130,123,93,88,56,61,43,27,35,25,16,18,3359
maroonrk,78,24,21,21,39,45,43,64,68,74,76,81,68,64,73,62,86,81,71,72,72,69,68,71,79,75,52,125,3355
ecnerwala,273,104,114,98,105,105,94,128,125,119,129,103,109,105,109,60,101,100,72,84,63,48,51,47,64,50,50,140,3327
xtqqwq,10,4,5,5,4,8,9,13,9,14,8,14,3,5,11,12,7,12,9,6,8,7,5,1,5,2,0,2,3318
scott_wu,172,68,88,61,67,76,65,77,81,71,83,60,55,86,52,38,60,83,44,37,28,23,28,11,43,16,13,7,3297
gyh20,120,35,29,38,44,46,42,52,48,55,69,55,59,51,82,51,63,64,66,42,65,78,70,46,65,45,17,18,3259
gamegame,65,24,35,19,37,40,38,46,51,56,75,68,50,36,25,26,28,26,27,18,11,14,8,6,11,8,3,7,3252
snuke,35,10,23,17,19,23,34,33,52,41,41,53,46,32,47,19,60,34,30,26,27,24,12,25,6,7,4,2,3251
noimi,252,69,72,73,93,98,103,129,166,155,146,159,135,129,143,119,139,151,123,106,94,65,47,33,33,28,17,1,3247
Geothermal,363,102,113,108,122,117,121,144,143,150,127,141,110,109,112,87,116,109,81,86,50,36,31,12,14,4,3,2,3243
BurnedChicken,299,70,89,76,88,88,90,89,99,106,90,100,100,78,93,89,105,117,95,84,55,55,63,52,48,29,9,7,3220
Alice_foo_foo,11,6,6,8,3,8,5,8,10,5,4,10,7,3,5,5,5,4,2,3,1,1,3,4,3,1,1,0,3203
WYZFL,13,4,2,5,2,3,5,2,1,3,4,4,1,2,3,4,9,4,1,1,1,3,0,0,1,4,0,0,3200
LJC00118,95,29,39,35,48,39,54,67,61,77,74,63,72,59,72,55,88,80,63,54,33,35,41,49,45,32,30,44,3195
hos.lyric,65,27,39,36,45,49,50,73,79,78,81,91,90,68,77,63,80,76,65,60,48,47,36,35,25,25,13,20,3181
ksun48,188,66,88,91,93,93,106,129,146,116,123,109,100,90,89,60,103,79,74,65,53,42,36,34,56,47,21,29,3175
Ormlis,274,70,81,78,78,90,85,110,118,123,126,118,116,108,116,86,112,97,88,66,50,44,35,20,30,17,9,8,3174
qazswedx2,38,13,11,14,19,17,22,28,27,34,32,43,31,32,39,37,36,54,50,47,38,28,35,27,29,19,13,19,3172
afo,20,4,6,4,4,8,4,5,5,6,5,5,6,4,10,2,9,7,2,2,9,3,2,2,4,3,2,1,3169
QAQAutoMaton,62,18,15,19,25,28,26,38,38,39,50,54,42,31,35,38,51,46,41,31,27,26,23,32,29,14,9,9,3168
maspy,737,276,326,323,352,365,335,383,408,389,363,400,381,327,324,300,340,304,208,188,111,71,65,30,28,14,2,4,3163
duality,54,12,16,18,25,30,26,41,43,45,56,53,40,41,37,36,53,59,48,46,40,49,42,45,60,55,29,49,3162
conqueror_of_tourist,94,21,34,46,37,29,40,47,55,38,65,33,38,43,33,18,30,21,18,27,17,5,13,2,7,2,2,1,3161
hehezhou,20,5,3,4,7,12,8,11,7,15,15,17,19,9,10,17,9,13,14,11,14,8,4,4,7,1,4,1,3159
fateice,10,5,3,5,9,7,9,11,18,7,12,10,10,6,13,6,12,10,9,7,5,7,9,3,1,4,0,3,3151
